Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2/17/2016,"2,555","13,210",5.69,0,726,190,5,53,"1,236"
2/18/2016,"2,367","12,008",5.11,0,719,232,19,23,"1,091"
2/19/2016,"2,845","15,773",6.74,0,621,241,22,84,"1,640"
2/20/2016,"2,231","9,379",3.99,0,542,236,16,8,939
2/21/2016,"2,255","10,405",4.43,0,535,210,32,12,973
2/22/2016,"2,727","15,453",6.66,0,666,194,31,72,"1,469"
2/23/2016,"2,663","16,065",7.17,0,650,223,7,59,"1,402"
2/24/2016,"2,383","11,918",5.07,0,679,244,19,24,"1,115"
2/25/2016,"2,622","13,685",5.86,0,677,212,18,63,"1,363"
2/26/2016,"2,333","10,774",4.59,0,696,276,14,2,"1,061"
2/27/2016,"2,292","10,316",4.39,0,631,216,30,20,"1,006"
2/28/2016,"2,518","13,223",6.71,23,495,282,9,25,"1,300"
2/29/2016,"2,846","18,230",7.8,0,574,259,85,33,"1,673"
3/1/2016,"2,482","12,057",5.17,0,697,171,12,59,"1,167"
3/2/2016,"2,483","13,846",6.36,0,697,204,10,60,"1,193"
3/3/2016,"2,281","10,197",4.34,0,735,218,10,21,972
3/4/2016,"2,412","12,301",6.02,7,613,224,11,29,"1,137"
3/5/2016,"2,200","8,642",3.68,0,682,242,8,0,891
3/6/2016,"2,232","10,438",4.44,0,633,184,17,26,924
3/7/2016,"2,398","12,553",5.34,8,586,257,17,10,"1,142"
3/8/2016,"2,409","12,290",6.24,9,658,227,1,23,"1,122"
3/9/2016,"2,547","14,069",6.98,26,584,240,25,31,"1,295"
3/10/2016,"2,459","13,094",6.58,8,626,235,18,29,"1,207"
3/11/2016,"2,451","12,272",5.22,0,512,306,29,17,"1,263"
3/12/2016,"2,338","10,201",4.34,0,588,294,17,12,"1,121"
3/13/2016,"2,262","10,235",4.35,1,507,272,24,0,"1,040"
3/14/2016,"2,585","15,662",6.9,0,666,197,23,65,"1,325"
3/15/2016,"2,595","11,556",4.92,0,637,246,37,32,"1,357"
3/16/2016,"2,461","13,111",6.41,11,669,235,14,32,"1,196"
3/17/2016,"2,356","12,060",5.13,0,708,189,25,33,"1,046"
3/18/2016,"2,689","14,489",6.22,0,675,261,16,68,"1,484"
3/19/2016,"2,316","10,599",4.51,0,542,261,31,5,"1,075"
3/20/2016,"2,278","10,232",4.35,1,551,215,15,35,"1,008"
3/21/2016,"2,661","15,679",6.76,0,637,205,47,63,"1,432"
3/22/2016,"2,505","14,038",6.46,0,680,179,9,60,"1,201"
3/23/2016,"2,306","11,192",4.76,0,702,210,7,32,"1,008"
3/24/2016,"2,503","12,349",5.26,0,680,191,11,67,"1,233"
3/25/2016,"2,437","11,601",4.97,12,716,207,2,53,"1,173"
3/26/2016,"2,297","10,604",4.51,1,571,262,20,8,"1,054"
3/27/2016,"2,205","9,133",3.89,0,560,205,49,5,928
3/28/2016,"2,528","14,099",6.44,0,679,208,23,48,"1,252"
3/29/2016,"2,619","14,495",6.22,0,665,201,14,61,"1,344"
3/30/2016,"2,359","12,028",5.12,0,686,246,10,21,"1,096"
3/31/2016,"2,432","13,199",6.24,17,710,156,30,56,"1,125"
4/1/2016,"2,261","9,452",4.02,0,725,232,1,20,945
4/2/2016,"2,332","11,231",4.78,0,622,233,42,10,"1,068"
4/3/2016,"2,263","10,116",4.31,2,502,242,33,3,"1,006"
4/4/2016,"2,574","15,302",7.02,0,683,190,37,51,"1,302"
4/5/2016,"2,436","11,138",4.83,0,680,196,14,42,"1,144"
4/6/2016,"2,366","11,512",4.9,0,648,251,16,22,"1,102"
4/7/2016,"2,509","14,082",6.21,10,649,226,40,33,"1,269"
4/8/2016,"2,152","8,093",3.45,0,757,183,9,15,786
4/9/2016,"2,286","10,126",4.31,0,592,276,20,5,"1,055"
4/10/2016,"2,298","10,483",4.46,0,500,259,26,14,"1,075"
4/11/2016,"2,567","15,061",6.89,0,686,199,13,56,"1,277"
4/12/2016,"2,471","10,748",4.63,0,600,226,23,46,"1,224"
4/13/2016,"2,457","11,097",4.72,0,662,212,23,53,"1,194"
4/14/2016,"2,279","10,172",4.33,0,707,233,28,11,"1,000"
4/15/2016,"2,757","14,790",6.36,0,733,190,22,75,"1,482"
4/16/2016,"2,244","10,261",4.37,0,633,224,3,5,932
4/17/2016,"2,356","11,303",5.81,25,603,223,0,25,"1,072"
4/18/2016,"2,480","13,034",6.58,12,545,235,23,39,"1,242"
4/19/2016,"2,565","14,817",7.3,17,657,218,12,51,"1,297"
4/20/2016,"2,384","12,214",5.2,0,703,185,26,44,"1,079"
4/21/2016,"2,748","18,001",8.48,16,645,234,28,69,"1,530"
4/22/2016,"2,334","11,234",4.78,0,695,234,11,21,"1,049"
4/23/2016,"2,877","20,840",8.86,15,486,323,16,60,"1,760"
4/24/2016,"2,130","7,671",3.27,0,575,239,9,2,846
4/25/2016,"2,170","8,820",3.75,0,388,226,4,6,874
4/26/2016,"2,500","12,161",5.18,0,635,212,46,46,"1,270"
4/27/2016,"2,384","12,589",5.91,11,707,192,26,37,"1,105"
4/28/2016,"2,293","11,452",4.87,0,690,202,18,28,"1,002"
4/29/2016,"2,387","12,763",6,7,709,191,15,35,"1,083"
4/30/2016,"2,253","10,862",4.63,0,588,216,34,16,999
5/1/2016,"2,182","9,404",4,0,626,206,15,9,887
5/2/2016,"2,716","16,459",7.02,0,629,228,33,57,"1,509"
5/3/2016,"2,393","13,334",5.68,0,678,202,20,39,"1,123"
5/4/2016,"2,399","12,976",5.52,0,650,264,14,24,"1,179"
5/5/2016,"2,499","14,895",6.78,8,680,191,21,54,"1,232"
5/6/2016,"2,567","15,170",7.24,9,684,215,32,49,"1,318"
5/7/2016,"2,175","9,017",3.84,0,614,230,15,6,900
5/8/2016,"2,158","8,482",3.61,0,605,242,8,3,884
5/9/2016,"2,624","14,426",6.14,0,633,237,31,53,"1,413"
5/10/2016,"2,551","15,125",7.17,10,654,225,11,55,"1,309"
5/11/2016,"2,625","16,793",7.97,11,641,214,30,59,"1,404"
5/12/2016,"2,429","13,186",5.61,0,675,244,24,28,"1,185"
5/13/2016,"2,506","14,197",6.79,13,696,216,17,47,"1,240"
5/14/2016,"2,301","9,888",5.16,10,669,222,2,26,"1,013"
5/15/2016,"2,022","5,924",2.52,2,647,217,0,0,703
5/16/2016,"2,677","16,753",7.35,0,644,227,11,70,"1,450"
5/17/2016,"2,424","13,184",6.31,9,691,222,4,37,"1,151"
5/18/2016,"2,403","13,111",5.58,0,703,203,19,38,"1,117"
5/19/2016,"2,694","17,721",8.53,12,672,218,14,65,"1,452"
5/20/2016,"2,472","13,404",6.5,8,712,226,18,43,"1,219"
5/21/2016,"2,491","13,599",6.91,26,616,244,2,29,"1,228"
5/22/2016,"2,084","6,684",2.84,0,585,235,7,0,786
5/23/2016,"2,694","17,712",7.81,10,614,254,33,46,"1,494"
5/24/2016,"2,431","12,029",5.12,0,680,215,11,44,"1,156"
5/25/2016,"2,436","13,436",6.32,10,677,207,19,39,"1,166"
5/26/2016,"2,475","14,160",6.64,9,692,175,21,53,"1,177"
5/27/2016,"2,418","13,003",5.54,0,722,225,20,31,"1,135"
5/28/2016,"2,330","11,035",4.7,0,580,295,10,14,"1,126"
5/29/2016,"2,140","8,718",3.71,0,609,228,8,0,845
5/30/2016,"2,476","12,965",6.14,3,492,300,21,17,"1,292"
5/31/2016,"2,689","17,537",8.25,11,642,231,11,68,"1,459"
6/1/2016,"2,145","8,516",3.63,0,742,173,9,20,795
6/2/2016,"2,179","9,140",3.89,0,723,198,2,16,849
6/3/2016,"2,225","9,668",4.12,0,779,213,1,21,907
6/4/2016,"2,172","8,308",3.54,0,593,252,7,0,889
6/5/2016,"2,164","8,135",3.46,0,526,265,0,0,899
6/6/2016,"2,296","11,091",4.77,0,704,217,7,25,"1,001"
6/7/2016,"2,252","10,717",4.61,0,723,181,18,25,933
6/8/2016,"2,398","12,521",5.33,0,685,239,17,27,"1,134"
6/9/2016,"2,253","10,748",4.58,0,748,190,11,27,937
